id,g,slot
blue_dhide_vambraces,glove,hands
red_dhide_coif,hat,head
red_dhide_body,robe,body
red_dhide_chaps,legs,legs
red_dhide_vambraces,glove,hands
black_dhide_coif,hat,head
black_dhide_body,robe,body
black_dhide_chaps,legs,legs
black_dhide_vambraces,glove,hands
logs,log,
oak_logs,log,
willow_logs,log,
maple_logs,log,
yew_logs,log,
magic_logs,log,
mahogany_logs,log,
copper_ore,ore,
tin_ore,ore,
iron_ore,ore,
coal,ore,
mithril_ore,ore,
adamantite_ore,ore,
runite_ore,ore,
silver_ore,ore,
gold_ore,ore,
rune_essence,ore,
bronze_bar,bar,
iron_bar,bar,
steel_bar,bar,
mithril_bar,bar,
adamant_bar,bar,
rune_bar,bar,
silver_bar,bar,
gold_bar,bar,
bronze_nails,needle,
iron_nails,needle,
steel_nails,needle,
mithril_nails,needle,
adamant_nails,needle,
rune_nails,needle,
raw_shrimps,fish,
shrimps,cfish,
burnt_shrimps,cfish,
raw_sardine,fish,
sardine,cfish,
burnt_sardine,cfish,
raw_herring,fish,
herring,cfish,
burnt_herring,cfish,
raw_anchovies,fish,
anchovies,cfish,
burnt_anchovies,cfish,
raw_trout,fish,
trout,cfish,
burnt_trout,cfish,
raw_pike,fish,
pike,cfish,
burnt_pike,cfish,
raw_salmon,fish,
salmon,cfish,
burnt_salmon,cfish,
raw_tuna,fish,
tuna,cfish,
burnt_tuna,cfish,
raw_lobster,fish,
lobster,cfish,
burnt_lobster,cfish,
raw_bass,fish,
bass,cfish,
burnt_bass,cfish,
raw_swordfish,fish,
swordfish,cfish,
burnt_swordfish,cfish,
raw_monkfish,fish,
monkfish,cfish,
burnt_monkfish,cfish,
raw_shark,fish,
shark,cfish,
burnt_shark,cfish,
raw_anglerfish,fish,
anglerfish,cfish,
burnt_anglerfish,cfish,
raw_dark_crab,fish,
dark_crab,cfish,
burnt_dark_crab,cfish,
raw_beef,meat,
cooked_meat,meat,
burnt_meat,meat,
raw_chicken,meat,
cooked_chicken,meat,
burnt_chicken,meat,
gilded_hatchet,axe,weapon
gilded_pickaxe,pick,weapon
leather_gloves,glove,hands
leather_boots,boot,feet
anti_dragon_shield,shield,shield
snakeskin_boots,boot,feet
avas_attractor,cape,cape
avas_accumulator,cape,cape
team_cape,cape,cape
amulet_of_magic,amulet,neck
amulet_of_defence,amulet,neck
amulet_of_strength,amulet,neck
amulet_of_power,amulet,neck
amulet_of_glory,amulet,neck
ring_of_recoil,ring,ring
ring_of_life,ring,ring
ring_of_wealth,ring,ring
tinderbox,tinder,
hammer,hammer,
fishing_rod,rod,
small_net,net,
harpoon,rod,
coins,coins,
bones,bones,
big_bones,bones,
dragon_bones,bones,
air_rune,rune,
mind_rune,rune,
water_rune,rune,
earth_rune,rune,
fire_rune,rune,
body_rune,rune,
cosmic_rune,rune,
chaos_rune,rune,
nature_rune,rune,
law_rune,rune,
death_rune,rune,
blood_rune,rune,
soul_rune,rune,
pure_essence,ore,
tiara,tiara,head
air_talisman,talisman,
air_tiara,tiara,head
mind_talisman,talisman,
mind_tiara,tiara,head
water_talisman,talisman,
water_tiara,tiara,head
earth_talisman,talisman,
earth_tiara,tiara,head
fire_talisman,talisman,
fire_tiara,tiara,head
body_talisman,talisman,
body_tiara,tiara,head
cosmic_talisman,talisman,
cosmic_tiara,tiara,head
chaos_talisman,talisman,
chaos_tiara,tiara,head
nature_talisman,talisman,
nature_tiara,tiara,head
law_talisman,talisman,
law_tiara,tiara,head
death_talisman,talisman,
death_tiara,tiara,head
blood_talisman,talisman,
blood_tiara,tiara,head
soul_talisman,talisman,
soul_tiara,tiara,head
uncut_sapphire,gem,
sapphire,gem,
uncut_emerald,gem,
emerald,gem,
uncut_ruby,gem,
ruby,gem,
uncut_diamond,gem,
diamond,gem,
uncut_dragonstone,gem,
dragonstone,gem,
uncut_onyx,gem,
onyx,gem,
gold_ring,ring,ring
sapphire_ring,ring,ring
emerald_ring,ring,ring
ruby_ring,ring,ring
diamond_ring,ring,ring
dragonstone_ring,ring,ring
onyx_ring,ring,ring
gold_necklace,amulet,neck
sapphire_necklace,amulet,neck
emerald_necklace,amulet,neck
ruby_necklace,amulet,neck
diamond_necklace,amulet,neck
dragonstone_necklace,amulet,neck
onyx_necklace,amulet,neck
gold_amulet,amulet,neck
sapphire_amulet,amulet,neck
emerald_amulet,amulet,neck
ruby_amulet,amulet,neck
diamond_amulet,amulet,neck
dragonstone_amulet,amulet,neck
onyx_amulet,amulet,neck
grimy_guam,herb,
guam,herb,
grimy_marrentill,herb,
marrentill,herb,
grimy_tarromin,herb,
tarromin,herb,
grimy_harralander,herb,
harralander,herb,
grimy_ranarr,herb,
ranarr,herb,
grimy_toadflax,herb,
toadflax,herb,
grimy_irit,herb,
irit,herb,
grimy_avantoe,herb,
avantoe,herb,
grimy_kwuarm,herb,
kwuarm,herb,
grimy_snapdragon,herb,
snapdragon,herb,
grimy_cadantine,herb,
cadantine,herb,
grimy_lantadyme,herb,
lantadyme,herb,
grimy_dwarf_weed,herb,
dwarf_weed,herb,
grimy_torstol,herb,
torstol,herb,
potato,crop,
onion,crop,
cabbage,crop,
tomato,crop,
sweetcorn,crop,
strawberry,crop,
watermelon,crop,
potato_seed,seed,
onion_seed,seed,
cabbage_seed,seed,
tomato_seed,seed,
sweetcorn_seed,seed,
strawberry_seed,seed,
watermelon_seed,seed,
guam_seed,seed,
marrentill_seed,seed,
tarromin_seed,seed,
harralander_seed,seed,
ranarr_seed,seed,
toadflax_seed,seed,
irit_seed,seed,
avantoe_seed,seed,
kwuarm_seed,seed,
snapdragon_seed,seed,
cadantine_seed,seed,
lantadyme_seed,seed,
dwarf_weed_seed,seed,
torstol_seed,seed,
acorn,seed,
willow_seed,seed,
maple_seed,seed,
yew_seed,seed,
magic_seed,seed,
mahogany_seed,seed,
wheat_seed,seed,
feather,feather,
flax,herb,
bow_string,string,
wool,wool,
ball_of_wool,wool,
cowhide,hide,
leather,hide,
hard_leather,hide,
green_dragonhide,hide,
green_dragon_leather,hide,
blue_dragonhide,hide,
blue_dragon_leather,hide,
red_dragonhide,hide,
red_dragon_leather,hide,
black_dragonhide,hide,
black_dragon_leather,hide,
needle,needle,
thread,string,
chisel,chisel,
knife,knife,
shears,knife,
ring_mould,mould,
necklace_mould,mould,
amulet_mould,mould,
tiara_mould,mould,
wizard_hat,hat,head
wizard_robe_top,robe,body
wizard_robe_bottom,legs,legs
wizard_gloves,glove,hands
wizard_boots,boot,feet
black_hat,hat,head
black_robe_top,robe,body
black_robe_bottom,legs,legs
black_gloves,glove,hands
mystic_hat,hat,head
mystic_robe_top,robe,body
mystic_robe_bottom,legs,legs
mystic_gloves,glove,hands
mystic_boots,boot,feet
staff,staff,weapon
staff_of_air,staff,weapon
staff_of_water,staff,weapon
staff_of_earth,staff,weapon
staff_of_fire,staff,weapon
battlestaff_of_air,staff,weapon
battlestaff_of_water,staff,weapon
battlestaff_of_earth,staff,weapon
battlestaff_of_fire,staff,weapon
mystic_of_air,staff,weapon
mystic_of_water,staff,weapon
mystic_of_earth,staff,weapon
mystic_of_fire,staff,weapon
battlestaff,staff,weapon
mystic_staff,staff,weapon
mud_battlestaff,staff,weapon
mystic_mud_staff,staff,weapon
lava_battlestaff,staff,weapon
mystic_lava_staff,staff,weapon
steam_battlestaff,staff,weapon
mystic_steam_staff,staff,weapon
smoke_battlestaff,staff,weapon
mystic_smoke_staff,staff,weapon
mist_battlestaff,staff,weapon
mystic_mist_staff,staff,weapon
dust_battlestaff,staff,weapon
mystic_dust_staff,staff,weapon
beginner_wand,wand,weapon
apprentice_wand,wand,weapon
teacher_wand,wand,weapon
master_wand,wand,weapon
skillcape_attack,cape,cape
skillcape_strength,cape,cape
skillcape_defence,cape,cape
skillcape_ranged,cape,cape
skillcape_prayer,cape,cape
skillcape_magic,cape,cape
skillcape_runecraft,cape,cape
skillcape_construction,cape,cape
skillcape_hitpoints,cape,cape
skillcape_agility,cape,cape
skillcape_herblore,cape,cape
skillcape_thieving,cape,cape
skillcape_crafting,cape,cape
skillcape_fletching,cape,cape
skillcape_slayer,cape,cape
skillcape_hunter,cape,cape
skillcape_mining,cape,cape
skillcape_smithing,cape,cape
skillcape_fishing,cape,cape
skillcape_cooking,cape,cape
skillcape_firemaking,cape,cape
skillcape_woodcutting,cape,cape
skillcape_farming,cape,cape
skillcape_sailing,cape,cape
bread,crop,
silk,wool,
fur,fur,
spice,seed,
hardleather_body,robe,body
arrow_shaft,arrow,
headless_arrow,arrow,
shortbow_u,bow,
longbow_u,bow,
oak_shortbow_u,bow,
oak_longbow_u,bow,
willow_shortbow_u,bow,
willow_longbow_u,bow,
maple_shortbow_u,bow,
maple_longbow_u,bow,
yew_shortbow_u,bow,
yew_longbow_u,bow,
magic_shortbow_u,bow,
magic_longbow_u,bow,
vial_of_water,vial,
eye_of_newt,crop,
unicorn_horn,bones,
limpwurt_root,crop,
red_spiders_eggs,crop,
white_berries,crop,
snape_grass,herb,
mort_myre_fungus,crop,
wine_of_zamorak,vial,
potato_cactus,crop,
dragon_scale_dust,hide,
coconut,crop,
supercompost,crop,
steel_cannonball,bar,
onyx_bolt_tips,bolt,
blighted_anglerfish,cfish,
onyx_bolts,bolt,ammo
goat_horn,horn,
egg,egg,
guam_potion_u,vial,
attack_4,vial4,
attack_3,vial3,
attack_2,vial2,
attack_1,vial1,
marrentill_potion_u,vial,
antipoison_4,vial4,
antipoison_3,vial3,
antipoison_2,vial2,
antipoison_1,vial1,
tarromin_potion_u,vial,
strength_4,vial4,
strength_3,vial3,
strength_2,vial2,
strength_1,vial1,
harralander_potion_u,vial,
restore_4,vial4,
restore_3,vial3,
restore_2,vial2,
restore_1,vial1,
energy_4,vial4,
energy_3,vial3,
energy_2,vial2,
energy_1,vial1,
ranarr_potion_u,vial,
defence_4,vial4,
defence_3,vial3,
defence_2,vial2,
defence_1,vial1,
prayer_4,vial4,
prayer_3,vial3,
prayer_2,vial2,
prayer_1,vial1,
irit_potion_u,vial,
super_attack_4,vial4,
super_attack_3,vial3,
super_attack_2,vial2,
super_attack_1,vial1,
avantoe_potion_u,vial,
super_energy_4,vial4,
super_energy_3,vial3,
super_energy_2,vial2,
super_energy_1,vial1,
kwuarm_potion_u,vial,
super_strength_4,vial4,
super_strength_3,vial3,
super_strength_2,vial2,
super_strength_1,vial1,
snapdragon_potion_u,vial,
super_restore_4,vial4,
super_restore_3,vial3,
super_restore_2,vial2,
super_restore_1,vial1,
sanfew_4,vial4,
sanfew_3,vial3,
sanfew_2,vial2,
sanfew_1,vial1,
cadantine_potion_u,vial,
super_defence_4,vial4,
super_defence_3,vial3,
super_defence_2,vial2,
super_defence_1,vial1,
lantadyme_potion_u,vial,
antifire_4,vial4,
antifire_3,vial3,
antifire_2,vial2,
antifire_1,vial1,
dwarf_weed_potion_u,vial,
ranging_4,vial4,
ranging_3,vial3,
ranging_2,vial2,
ranging_1,vial1,
magic_4,vial4,
magic_3,vial3,
magic_2,vial2,
magic_1,vial1,
combat_4,vial4,
combat_3,vial3,
combat_2,vial2,
combat_1,vial1,
super_antipoison_4,vial4,
super_antipoison_3,vial3,
super_antipoison_2,vial2,
super_antipoison_1,vial1,
toadflax_potion_u,vial,
antidote_p_4,vial4,
antidote_p_3,vial3,
antidote_p_2,vial2,
antidote_p_1,vial1,
stamina_4,vial4,
stamina_3,vial3,
stamina_2,vial2,
stamina_1,vial1,
torstol_potion_u,vial,
zamorak_brew_4,vial4,
zamorak_brew_3,vial3,
zamorak_brew_2,vial2,
zamorak_brew_1,vial1,
antidote_pp_4,vial4,
antidote_pp_3,vial3,
antidote_pp_2,vial2,
antidote_pp_1,vial1,
saradomin_brew_4,vial4,
saradomin_brew_3,vial3,
saradomin_brew_2,vial2,
saradomin_brew_1,vial1,
bird_snare,trap,
box_trap,trap,
ferret,fur,
kebbit_fur,fur,
plank,plank,
oak_plank,plank,
mahogany_plank,plank,
firepit,flame,
workbench,hammer,
camp_altar,star,
crude_chair,plank,
wooden_bookcase,plank,
wooden_chair,plank,
oak_chair,plank,
oak_table,plank,
oak_bookcase,plank,
oak_larder,plank,
saw,knife,
house_deed,house,
bolt_of_cloth,wool,
limestone_brick,bar,
gold_leaf,leaf,
marble_block,bar,
magic_stone,gem,
rocking_chair,plank,
oak_armchair,plank,
mahogany_armchair,plank,
mahogany_bookcase,plank,
stone_fireplace,plank,
marble_fireplace,plank,
brown_rug,plank,
rug,plank,
opulent_rug,plank,
wooden_larder,plank,
small_oven,plank,
large_oven,plank,
steel_range,plank,
fancy_range,plank,
kitchen_table,plank,
oak_kitchen_table,plank,
wooden_shelves,plank,
pump_and_drain,plank,
pump_and_tub,plank,
sink,plank,
beer_barrel,plank,
wood_dining_table,plank,
carved_oak_table,plank,
mahogany_table,plank,
opulent_table,plank,
wooden_bench,plank,
oak_bench,plank,
carved_oak_bench,plank,
mahogany_bench,plank,
gilded_bench,plank,
oak_decoration,plank,
gilded_decoration,plank,
wooden_bed,plank,
oak_bed,plank,
large_oak_bed,plank,
four_poster,plank,
gilded_four_poster,plank,
shoe_box,plank,
oak_drawers,plank,
oak_wardrobe,plank,
mahogany_wardrobe,plank,
gilded_wardrobe,plank,
oak_lectern,plank,
eagle_lectern,plank,
mahogany_eagle_lectern,plank,
marble_lectern,plank,
globe,plank,
armillary_sphere,plank,
small_orrery,plank,
large_orrery,plank,
alchemical_chart,plank,
astronomical_chart,plank,
infernal_chart,plank,
oak_altar,plank,
mahogany_altar,plank,
limestone_altar,plank,
marble_altar,plank,
gilded_altar,plank,
oak_burners,plank,
mahogany_burners,plank,
marble_burners,plank,
small_statue,plank,
medium_statue,plank,
large_statue,plank,
windchimes,plank,
organ,plank,
wooden_workbench,plank,
oak_workbench,plank,
steel_framed_bench,plank,
bench_with_vice,plank,
bench_with_lathe,plank,
repair_bench,plank,
whetstone,plank,
armour_stand,plank,
tool_store,plank,
room_parlour,plank,
room_kitchen,plank,
room_dining,plank,
room_workshop,plank,
room_bedroom,plank,
room_study,plank,
room_chapel,plank,
ring_of_dueling,ring,ring
banana,banana,
peach,peach,
sapphire_bolt_tips,bolt,
sapphire_bolts,bolt,ammo
sapphire_bolts_e,bolt,ammo
emerald_bolt_tips,bolt,
emerald_bolts,bolt,ammo
emerald_bolts_e,bolt,ammo
ruby_bolt_tips,bolt,
ruby_bolts,bolt,ammo
ruby_bolts_e,bolt,ammo
diamond_bolt_tips,bolt,
diamond_bolts,bolt,ammo
dragonstone_bolt_tips,bolt,
dragonstone_bolts,bolt,ammo
dragonstone_bolts_e,bolt,ammo
onyx_bolts_e,bolt,ammo
abyssal_whip,whip,weapon
granite_maul,wham,weapon
dark_bow,bow,weapon
saradomin_sword,lsword,weapon
dragon_dagger_p,dagger,weapon
weapon_poison,vial,
dharoks_helm,fhelm,head
dharoks_platebody,body,body
dharoks_platelegs,legs,legs
dharoks_greataxe,baxe,weapon
guthans_helm,fhelm,head
guthans_platebody,body,body
guthans_chainskirt,skirt,legs
guthans_warspear,spear,weapon
torags_helm,fhelm,head
torags_platebody,body,body
torags_platelegs,legs,legs
torags_hammers,wham,weapon
veracs_helm,fhelm,head
veracs_brassard,body,body
veracs_plateskirt,skirt,legs
veracs_flail,mace,weapon
karils_coif,hat,head
karils_leathertop,robe,body
karils_leatherskirt,legs,legs
karils_crossbow,cbow,weapon
ahrims_hood,hat,head
ahrims_robetop,robe,body
ahrims_robeskirt,skirt,legs
ahrims_staff,staff,weapon
armadyl_godsword,sword2h,weapon
bandos_godsword,sword2h,weapon
saradomin_godsword,sword2h,weapon
zamorak_godsword,sword2h,weapon
bandos_chestplate,body,body
bandos_tassets,legs,legs
bandos_boots,boot,feet
armadyl_helmet,hat,head
armadyl_chestplate,robe,body
armadyl_chainskirt,skirt,legs
abyssal_dagger,dagger,weapon
abyssal_bludgeon,wham,weapon
abyssal_tentacle,whip,weapon
zamorakian_spear,spear,weapon
toktz_xil_ak,sword,weapon
tzhaar_ket_om,wham,weapon
berserker_necklace,amulet,neck
amulet_of_fury,amulet,neck
amulet_of_torture,amulet,neck
necklace_of_anguish,amulet,neck
occult_necklace,amulet,neck
berserker_ring,ring,ring
warrior_ring,ring,ring
archers_ring,ring,ring
seers_ring,ring,ring
primordial_boots,boot,feet
pegasian_boots,boot,feet
eternal_boots,boot,feet
ranger_boots,boot,feet
fire_cape,cape,cape
avas_assembler,cape,cape
saradomin_cape,cape,cape
zamorak_cape,cape,cape
guthix_cape,cape,cape
armadyl_crossbow,cbow,weapon
dragon_hunter_crossbow,cbow,weapon
toxic_blowpipe,pipe,weapon
twisted_bow,bow,weapon
crystal_bow,bow,weapon
crystal_shield,shield,shield
ancient_staff,staff,weapon
staff_of_the_dead,staff,weapon
toxic_staff_of_the_dead,staff,weapon
kodai_wand,wand,weapon
trident_of_the_seas,trident,weapon
mages_book,shield,shield
infinity_hat,hat,head
infinity_top,robe,body
infinity_bottoms,legs,legs
infinity_boots,boot,feet
ancestral_hat,hat,head
ancestral_robe_top,robe,body
ancestral_robe_bottom,legs,legs
third_age_full_helmet,fhelm,head
third_age_platebody,body,body
third_age_platelegs,legs,legs
third_age_kiteshield,shield,shield
third_age_longsword,lsword,weapon
third_age_range_coif,hat,head
third_age_range_top,robe,body
third_age_range_legs,legs,legs
third_age_vambraces,glove,hands
third_age_bow,bow,weapon
third_age_mage_hat,hat,head
third_age_robe_top,robe,body
third_age_robe,skirt,legs
third_age_wand,wand,weapon
third_age_amulet,amulet,neck
grain,wheat,
flour,sack,
bucket_of_milk,bucket,
cheese,cheese,
grapes,grapes,
bread_dough,sack,
pastry_dough,sack,
meat_pie,pie,
stew,bowl,
garden_pie,pie,
wine,wine,
plain_pizza,pizza,
cake,cake,
meat_pizza,pizza,
fish_pie,pie,
anchovy_pizza,pizza,
admiral_pie,pie,
summer_pie,pie,
monk_robe_top,robe,body
monk_robe_bottom,skirt,legs
holy_symbol,amulet,neck
holy_mould,mould,
pet_elvarg,paw,
pet_obor,paw,
pet_slashbash,paw,
pet_bktitan,paw,
pet_trollking,paw,
pet_bryophyta,paw,
pet_evilchicken,paw,
pet_scurrius,paw,
pet_scorpia,paw,
pet_eldric,paw,
pet_branda,paw,
pet_kbd,paw,
pet_sarachnis,paw,
pet_skotizo,paw,
pet_kalphitequeen,paw,
pet_vorkath,paw,
pet_vetion,paw,
pet_venenatis,paw,
pet_callisto,paw,
pet_galvek,paw,
pet_graardor,paw,
pet_kril,paw,
town_cloak_1,cape,cape
town_cloak_2,cape,cape
town_cloak_3,cape,cape
genie_lamp,lamp,
clue_0,scroll,
casket_0,casket,
clue_1,scroll,
casket_1,casket,
clue_2,scroll,
casket_2,casket,
spade,spade,
